round,total_rounds,block_total,pause_page,participation_fee,bonus,initial_bonds,buy_option,sell_option,g,k,m,y,height
1,24,4,False,298.71,False,1,True,True,30,0.1,55,2,3
2,24,4,False,0,False,1,True,True,30,0.1,60,68,3
3,24,4,False,0,False,1,True,True,30,0.1,52,33,3
4,24,4,False,0,False,1,True,True,30,0.1,6,84,3
5,24,4,False,240.93,False,1,True,True,70,0.1,5,11,3
6,24,4,False,0,False,1,True,True,70,0.1,70,86,3
7,24,4,False,0,False,1,True,True,70,0.1,91,76,3
8,24,4,False,0,False,1,True,True,70,0.1,45,43,3
9,24,4,False,207.54,False,1,True,True,70,2.5,8,98,15
10,24,4,False,0,False,1,True,True,70,2.5,53,16,15
11,24,4,False,0,False,1,True,True,70,2.5,52,12,15
12,24,4,False,0,False,1,True,True,70,2.5,45,22,15
13,24,4,False,233.37,False,1,True,True,70,2.5,53,83,15
14,24,4,False,0,False,1,True,True,70,2.5,73,18,15
15,24,4,False,0,False,1,True,True,70,2.5,42,10,15
16,24,4,False,0,False,1,True,True,70,2.5,31,10,15
17,24,4,False,247.23,False,1,True,True,70,.1,60,73,3
18,24,4,False,0,False,1,True,True,70,.1,89,48,3
19,24,4,False,0,False,1,True,True,70,.1,57,79,3
20,24,4,False,0,False,1,True,True,70,.1,15,65,3
21,24,4,False,312.75,False,1,True,True,30,0.1,78,7,3
22,24,4,False,0,False,1,True,True,30,0.1,37,64,3
23,24,4,False,0,False,1,True,True,30,0.1,87,37,3
24,24,4,False,0,False,1,True,True,30,0.1,23,66,3
25,24,4,False,334.08,False,1,True,True,30,2.5,27,52,15
26,24,4,False,0,False,1,True,True,30,2.5,96,17,15
27,24,4,False,0,False,1,True,True,30,2.5,97,39,15
28,24,4,False,0,False,1,True,True,30,2.5,84,78,15
29,24,4,False,185.49,False,1,True,True,70,2.5,3,48,15
30,24,4,False,0,False,1,True,True,70,2.5,16,17,15
31,24,4,False,0,False,1,True,True,70,2.5,65,11,15
32,24,4,False,0,False,1,True,True,70,2.5,39,59,15
